"id";"uri";"nomParlamentar";"cargo";"siglaUf";"municipio";"anoInicio";"anoFim";"siglaPartidoEleicao";"uriPartidoEleicao"
"73827";"https://dadosabertos.camara.leg.br/api/v2/deputados/73827";"EDMUNDO GALDINO";"Vereador(a)";"TO";"";"1983";"1987";"PMDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36800"
"73827";"https://dadosabertos.camara.leg.br/api/v2/deputados/73827";"EDMUNDO GALDINO";"Deputado(a) Estadual";"GO";"";"1987";"1988";"PMDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36800"
"74016";"https://dadosabertos.camara.leg.br/api/v2/deputados/74016";"COSTA FERREIRA";"Vereador(a)";"MA";"";"1977";"1983";"ARENA";"https://dadosabertos.camara.leg.br/api/v2/partidos/36768"
"74016";"https://dadosabertos.camara.leg.br/api/v2/deputados/74016";"COSTA FERREIRA";"Vereador(a)";"MA";"";"1983";"1987";"PDS";"https://dadosabertos.camara.leg.br/api/v2/partidos/36785"
"74210";"https://dadosabertos.camara.leg.br/api/v2/deputados/74210";"SARNEY FILHO";"Deputado(a) Estadual";"MA";"";"1979";"1983";"";""
"74319";"https://dadosabertos.camara.leg.br/api/v2/deputados/74319";"PAES LANDIM";"Prefeito(a)";"PI";"Socorro do Piauí";"1962";"1963";"UDN";"https://dadosabertos.camara.leg.br/api/v2/partidos/36854"
"74319";"https://dadosabertos.camara.leg.br/api/v2/deputados/74319";"PAES LANDIM";"Deputado(a) Estadual";"PI";"";"1963";"1964";"UDN";"https://dadosabertos.camara.leg.br/api/v2/partidos/36854"
"74325";"https://dadosabertos.camara.leg.br/api/v2/deputados/74325";"IBERÊ FERREIRA";"Deputado(a) Estadual";"RN";"";"1971";"1975";"MDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36899"
"74325";"https://dadosabertos.camara.leg.br/api/v2/deputados/74325";"IBERÊ FERREIRA";"Deputado(a) Estadual";"RN";"";"1975";"1979";"MDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36899"
"74327";"https://dadosabertos.camara.leg.br/api/v2/deputados/74327";"NEY LOPES";"Senador(a) Suplente";"RN";"";"1983";"1991";"ARENA";"https://dadosabertos.camara.leg.br/api/v2/partidos/36768"
"74327";"https://dadosabertos.camara.leg.br/api/v2/deputados/74327";"NEY LOPES";"Vice-Prefeito(a)";"RN";"";"1989";"1993";"PFL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36790"
"74425";"https://dadosabertos.camara.leg.br/api/v2/deputados/74425";"JOSÉ MENDONÇA BEZERRA";"Deputado(a) Estadual";"PE";"";"1967";"1971";"ARENA";"https://dadosabertos.camara.leg.br/api/v2/partidos/36768"
"74425";"https://dadosabertos.camara.leg.br/api/v2/deputados/74425";"JOSÉ MENDONÇA BEZERRA";"Deputado(a) Estadual";"PE";"";"1971";"1975";"ARENA";"https://dadosabertos.camara.leg.br/api/v2/partidos/36768"
