"codCategoria";"categoria";"codSubCategoria";"subCategoria"
"200";"Administração Pública";"200";"Administração Pública"
"300";"Agricultura, Pecuária, Pesca e Extrativismo";"300";"Agricultura, Pecuária, Pesca e Extrativismo"
"800";"Arte, Cultura e Religião";"800";"Arte, Cultura e Religião"
"480";"Cidades e Desenvolvimento Urbano";"480";"Cidades e Desenvolvimento Urbano"
"400";"Ciência, Tecnologia e Inovação";"400";"Ciência, Tecnologia e Inovação"
"950";"Ciências Exatas e da Terra";"951";"Estatística"
"900";"Ciências Sociais e Humanas";"901";"Administração"
"900";"Ciências Sociais e Humanas";"902";"Antropologia"
"900";"Ciências Sociais e Humanas";"903";"Arquitetura e Urbanismo"
"900";"Ciências Sociais e Humanas";"907";"Ciência da Informação"
"900";"Ciências Sociais e Humanas";"906";"Ciência Política"
"900";"Ciências Sociais e Humanas";"913";"Comunicação Social"
"900";"Ciências Sociais e Humanas";"914";"Contabilidade"
"900";"Ciências Sociais e Humanas";"915";"Demografia"
"900";"Ciências Sociais e Humanas";"908";"Filosofia"
"900";"Ciências Sociais e Humanas";"909";"Geografia"
"900";"Ciências Sociais e Humanas";"910";"História"
"900";"Ciências Sociais e Humanas";"912";"Psicologia"
"900";"Ciências Sociais e Humanas";"917";"Serviço Social"
"900";"Ciências Sociais e Humanas";"918";"Sociologia"
"700";"Comunicações";"700";"Comunicações"
"220";"Defesa e Segurança";"220";"Defesa e Segurança"
"152";"Direito Civil e Processual Civil";"152";"Direito Civil e Processual Civil"
"150";"Direito Constitucional";"150";"Direito Constitucional"
"158";"Direito e Defesa do Consumidor";"158";"Direito e Defesa do Consumidor"
"100";"Direito e Justiça";"100";"Direito e Justiça"
"154";"Direito Penal e Processual Penal";"154";"Direito Penal e Processual Penal"
"156";"Direitos Humanos e Minorias";"156";"Direitos Humanos e Minorias"
"600";"Economia";"600";"Economia"
"420";"Educação";"420";"Educação"
"360";"Energia, Recursos Hídricos e Minerais";"360";"Energia, Recursos Hídricos e Minerais"
"750";"Esporte e Lazer";"750";"Esporte e Lazer"
"320";"Estrutura Fundiária";"320";"Estrutura Fundiária"
"640";"Finanças Públicas e Orçamento";"640";"Finanças Públicas e Orçamento"
"850";"Homenagens e Datas Comemorativas";"850";"Homenagens e Datas Comemorativas"
"IDE";"Identificador";"IAL";"Identificador de Acidentes, Localidades e Nomes Geográficos"
"IDE";"Identificador";"IAP";"Identificador de Acordos, Pactos e Convênios"
"IDE";"Identificador";"IAN";"Identificador de Animais"
"IDE";"Identificador";"IBF";"Identificador de Bancadas, Frentes e Grupos Parlamentares"
"IDE";"Identificador";"ICC";"Identificador de Cadastros, Certidões, Declarações e Registros"
"IDE";"Identificador";"ICD";"Identificador de Cargos e Funções da Câmara dos Deputados"
"IDE";"Identificador";"ICO";"Identificador de Cargos, Ocupações e Categoria Profissional"
"IDE";"Identificador";"ICG";"Identificador de Comissões, Comitês e Grupos"
"IDE";"Identificador";"ICH";"Identificador de Condecorações e Concessões Honoríficas"
"IDE";"Identificador";"ICE";"Identificador de Conselhos, Entidades e Organizações"
"IDE";"Identificador";"ICF";"Identificador de Contribuições e Fundos"
"IDE";"Identificador";"IDP";"Identificador de Deputados"
"IDE";"Identificador";"IDT";"Identificador de Doenças e Transtornos"
"IDE";"Identificador";"IEO";"Identificador de Edificações e Obras de Engenharia"
"IDE";"Identificador";"IEC";"Identificador de Elementos, Compostos Químicos e Minerais"
"IDE";"Identificador";"IFD";"Identificador de Fóruns, Debates e Conferências"
"IDE";"Identificador";"IGV";"Identificador de Gratificações e Vantagens"
"IDE";"Identificador";"IHD";"Identificador de Homenagens e Datas Comemorativas"
"IDE";"Identificador";"ILD";"Identificador de Línguas e Dialetos"
"IDE";"Identificador";"IMO";"Identificador de Manifestações e Opiniões"
"IDE";"Identificador";"IMP";"Identificador de Materiais e Produtos"
"IDE";"Identificador";"INT";"Identificador de Neologismos e Termos Coloquiais"
"IDE";"Identificador";"INJ";"Identificador de Normas Jurídicas"
"IDE";"Identificador";"IPP";"Identificador de Partidos Políticos"
"IDE";"Identificador";"IPO";"Identificador de Povos"
"IDE";"Identificador";"IPS";"Identificador de Programas, Planos, Projetos e Sistemas"
"IDE";"Identificador";"IPE";"Identificador de Publicações e Edições"
"IDE";"Identificador";"ISP";"Identificador de Serviços e Produtos da Câmara dos Deputados"
"IDE";"Identificador";"ITC";"Identificador de Tempo Cronológico e Período Histórico"
"IDE";"Identificador";"ITJ";"Identificador de Tributos e Isenções Tributárias do Período Joanino (1808-1921)"
"IDE";"Identificador";"ITI";"Identificador de Tributos, Índices Econômicos e Regimes Aduaneiros"
"IDE";"Identificador";"IUA";"Identificador de Unidades Administrativas e Tramitadoras da Câmara dos Deputados"
"IDE";"Identificador";"IVE";"Identificador de Vegetais"
"660";"Indústria, Comércio e Serviços";"660";"Indústria, Comércio e Serviços"
"340";"Meio Ambiente e Desenvolvimento Sustentável";"340";"Meio Ambiente e Desenvolvimento Sustentável"
"MOD";"Modificador";"MOD";"Modificador"
"070";"Política, Partidos e Eleições";"070";"Política, Partidos e Eleições"
"460";"Previdência e Assistência Social";"460";"Previdência e Assistência Social"
"050";"Processo Legislativo e Atuação Parlamentar";"050";"Processo Legislativo e Atuação Parlamentar"
"520";"Relações Internacionais e Comércio Exterior";"520";"Relações Internacionais e Comércio Exterior"
"440";"Saúde";"440";"Saúde"
"620";"Trabalho e Emprego";"620";"Trabalho e Emprego"
"680";"Turismo";"680";"Turismo"
"500";"Viação, Transporte e Mobilidade";"500";"Viação, Transporte e Mobilidade"
